USERID,cluster,LONGITUDE,LATITUDE,FLOOR,BUILDINGID,SPACEID,pts_count,cluster2
0,0,-7597.077721395211,4864981.316226363,1,0,0,44,-1
1,0,-7632.238800000399,4864988.249200001,0,0,134,20,-1
1,1,-7638.067699998617,4865000.6202000035,0,0,133,20,-1
1,2,-7611.0564999990165,4864981.801700001,0,0,120,28,-1
1,3,-7616.688900001345,4864976.028099999,1,0,102,20,-1
1,4,-7611.129000000656,4864977.622000003,1,0,103,20,-1
1,5,-7603.56509999931,4864979.790100003,1,0,105,20,-1
1,6,-7609.2503999993205,4864978.160699999,1,0,104,20,-1
1,7,-7601.616200000048,4864980.348899996,1,0,106,20,-1
1,8,-7587.102299999446,4864986.090999996,1,0,109,20,-1
1,9,-7594.264100000262,4864982.456100002,1,0,108,20,-1
1,10,-7596.20320000127,4864981.900200004,1,0,107,20,-1
1,11,-7632.1528999991715,4864981.8639,2,0,140,20,-1
1,12,-7644.034899998456,4864930.066799998,3,0,201,20,-1
1,13,-7684.298099998385,4864931.812999999,3,0,222,20,-1
2,0,-7519.152399998158,4864949.532200003,2,1,103,20,-1
2,1,-7521.311493223533,4864890.4795969995,2,1,29,20,-1
2,2,-7329.6200825460255,4864766.993265281,3,2,247,20,-1
2,3,-7344.968400001526,4864749.576,3,2,241,20,-1
2,4,-7407.985484921684,4864802.20784454,3,2,201,30,-1
2,5,-7398.209253014997,4864781.773297936,3,2,214,20,-1
2,6,-7393.7288538478315,4864779.287764287,3,2,216,20,-1
2,7,-7391.004063483328,4864784.065812829,3,2,215,20,-1
2,8,-7375.347741452977,4864775.875041321,3,2,223,20,-1
2,9,-7362.8773660361785,4864762.171583611,3,2,230,20,-1
2,10,-7351.539578430355,4864755.907163143,3,2,236,20,-1
5,0,-7356.457600001248,4864764.753700003,2,2,206,20,-1
5,1,-7406.337058655386,4864809.60363944,2,2,217,21,-1
5,2,-7364.689149999991,4864844.801100001,3,2,108,20,0
5,3,-7371.406799999997,4864848.52815,3,2,107,20,1
5,4,-7358.302999999374,4864841.258133333,3,2,109,27,2
5,5,-7329.376800000668,4864825.210199999,3,2,129,31,-1
5,6,-7331.918400000781,4864822.512199998,3,2,122,22,-1
5,7,-7312.662200000137,4864807.624899998,3,2,133,20,-1
6,0,-7359.622230045497,4864835.347137829,4,2,129,20,-1
6,1,-7315.347509888932,4864793.649955437,4,2,141,20,-1
7,0,-7466.445299256593,4864859.364375353,0,1,10,20,-1
7,1,-7445.557873841374,4864826.589670565,0,1,202,60,3
7,2,-7468.870245195925,4864827.937682956,0,1,248,40,4
7,3,-7450.481994569302,4864817.72444879,0,1,247,40,-1
7,4,-7404.491683006287,4864890.416642642,0,1,244,20,-1
7,5,-7427.159742910415,4864893.895438509,0,1,249,20,-1
7,6,-7423.531571190804,4864897.0073547065,0,1,237,20,5
7,7,-7431.860601659864,4864887.897550127,0,1,228,20,-1
7,8,-7437.892353119329,4864891.157209809,0,1,230,20,-1
7,9,-7435.878008328378,4864889.552121739,0,1,229,20,-1
7,10,-7428.572616588324,4864899.786519124,0,1,238,30,-1
7,11,-7435.9163458272815,4864894.709301688,0,1,231,20,-1
7,12,-7427.111388426274,4864903.13028191,1,1,204,20,-1
7,13,-7391.348361590256,4864840.466794608,1,2,143,30,6
7,14,-7375.712884994224,4864844.283069499,1,2,115,20,7
7,15,-7376.317116655409,4864861.756102854,1,2,105,20,8
7,16,-7337.987569941208,4864823.344442104,1,2,125,20,-1
7,17,-7340.246713742614,4864824.597870017,1,2,124,20,-1
7,18,-7317.242233430967,4864811.843984969,1,2,131,20,-1
7,19,-7310.700860090554,4864800.67067712,1,2,134,20,-1
7,20,-7324.331793066114,4864815.76842351,1,2,129,20,-1
7,21,-7332.108800001441,4864822.170999998,1,2,126,20,-1
7,22,-7326.596686867997,4864817.0247963695,1,2,128,20,-1
7,23,-7392.599212441593,4864836.490252828,1,2,140,20,9
7,24,-7314.87246942018,4864793.136659264,1,2,136,23,10
8,0,-7524.232508795336,4864951.067487729,3,1,103,20,11
8,1,-7540.294448828058,4864922.45147932,3,1,104,21,12
8,2,-7536.274935044348,4864894.524769187,3,1,113,20,-1
8,3,-7406.358817476455,4864809.624576244,0,2,214,23,13
8,4,-7302.651295047253,4864819.237333507,0,2,122,20,14
9,0,-7457.24210000038,4864853.930299997,2,1,216,20,-1
9,1,-7439.543800000101,4864864.079400003,2,1,206,20,-1
9,2,-7443.87767707184,4864873.551518893,2,1,206,20,-1
9,3,-7425.64380000159,4864873.1670999965,2,1,201,20,-1
9,4,-7435.065400000662,4864861.6708,2,1,201,20,-1
9,5,-7414.873469986021,4864881.276651081,2,1,202,29,-1
9,6,-7423.048200000077,4864877.709100004,2,1,202,27,-1
9,7,-7424.812344465407,4864862.992156809,2,1,201,20,15
9,8,-7432.44810000062,4864883.152999997,3,1,203,30,-1
9,9,-7417.558400001377,4864893.060200002,3,1,202,34,-1
9,10,-7423.060899998993,4864877.686100002,3,1,202,30,-1
9,11,-7435.067499998958,4864878.154500003,3,1,204,26,-1
9,12,-7406.729305510888,4864809.981067763,0,2,214,37,13
9,13,-7398.428199999034,4864788.038999999,0,2,203,20,-1
9,14,-7401.996199999006,4864790.018399999,0,2,202,20,-1
9,15,-7333.069099999964,4864769.216300008,0,2,208,37,-1
9,16,-7333.069099999964,4864771.151100004,0,2,209,20,-1
9,17,-7302.651295047253,4864819.237333508,0,2,122,20,14
9,18,-7352.594331765814,4864832.062395325,0,2,124,28,16
9,19,-7359.2978999987245,4864837.255100001,0,2,127,38,17
9,20,-7360.539299998431,4864837.943800002,0,2,128,20,18
10,0,-7424.812344465407,4864862.992156809,2,1,201,20,15
10,1,-7392.599212441593,4864836.490252828,0,2,112,20,19
10,2,-7375.695384994149,4864844.273369499,0,2,132,20,20
10,3,-7368.76886228472,4864840.42159752,0,2,130,20,21
10,4,-7365.71961488202,4864851.113489622,0,2,139,20,22
10,5,-7366.5040184836835,4864839.165274653,0,2,129,20,23
10,6,-7360.539299998431,4864837.943800002,0,2,128,20,18
10,7,-7351.981125298886,4864843.493344098,0,2,140,20,-1
10,8,-7359.605630045757,4864835.337937826,0,2,127,20,17
10,9,-7355.073485411704,4864832.823628925,0,2,126,20,24
10,10,-7352.591722981383,4864832.159175637,0,2,124,30,16
10,11,-7316.835799999535,4864813.697499996,0,2,104,20,25
10,12,-7302.651295047253,4864819.237333508,0,2,122,20,14
10,13,-7305.724217651412,4864813.525774812,0,2,121,20,26
11,0,-7366.575906979241,4864838.557184028,2,2,121,29,-1
11,1,-7638.016716608778,4864915.867204759,1,0,205,20,-1
11,2,-7648.530400000513,4864942.806100005,2,0,231,20,-1
11,3,-7656.762800000608,4864938.025799995,3,0,236,20,-1
11,4,-7387.184930566698,4864838.746549916,3,2,101,20,-1
11,5,-7393.197016589344,4864836.582137108,3,2,140,30,27
11,6,-7386.709566339849,4864847.37046889,3,2,102,20,-1
11,7,-7376.317116655409,4864861.756102856,3,2,106,30,-1
11,8,-7371.406799999997,4864848.52815,3,2,107,20,1
11,9,-7364.689149999991,4864844.801100001,3,2,108,20,0
11,10,-7357.880249999464,4864841.0236,3,2,109,20,2
11,11,-7366.242400001733,4864841.108000005,3,2,114,20,-1
11,12,-7325.0529000014085,4864818.703599995,3,2,124,20,-1
11,13,-7324.288274437189,4864815.346426826,3,2,125,30,28
11,14,-7319.5940465554595,4864813.475381427,3,2,126,40,-1
11,15,-7315.637699998915,4864817.587599998,3,2,130,20,-1
11,16,-7315.262436725199,4864793.566453092,3,2,136,57,29
11,17,-7526.3914556130785,4864919.347851181,1,1,101,20,-1
11,18,-7516.413621235639,4864937.650390033,1,1,102,30,-1
11,19,-7510.211205821484,4864949.287095759,1,1,103,30,-1
11,20,-7528.608068633825,4864959.505251183,1,1,104,30,-1
11,21,-7535.209515403956,4864948.090411808,1,1,105,30,-1
11,22,-7545.474832799286,4864929.947813574,1,1,106,29,30
11,23,-7560.377608112991,4864859.336898376,1,1,108,40,-1
11,24,-7571.093199998142,4864871.718699997,1,1,109,20,-1
11,25,-7578.461971551178,4864869.381579727,1,1,109,20,-1
11,26,-7572.053273737431,4864882.3671180615,1,1,111,20,-1
11,27,-7568.053527798504,4864892.154664098,1,1,110,29,31
11,28,-7549.37943457067,4864878.4137138985,1,1,107,30,32
11,29,-7383.708679076893,4864845.841076329,2,2,102,49,-1
11,30,-7391.05744619295,4864840.079870957,2,2,101,20,-1
11,31,-7380.866799999028,4864847.233599996,2,2,103,20,-1
11,32,-7382.9161028005165,4864854.208545769,2,2,104,20,-1
11,33,-7377.296035300942,4864860.055810973,2,2,105,20,-1
11,34,-7363.282299999148,4864844.020700002,2,2,107,20,33
11,35,-7323.883299998939,4864822.162400002,2,2,112,20,-1
11,36,-7321.038300000129,4864820.583800003,2,2,113,20,34
11,37,-7308.779111966491,4864804.134827018,2,2,136,20,-1
11,38,-7310.700860090554,4864800.67067712,2,2,137,20,-1
11,39,-7312.098830513656,4864797.604328928,2,2,138,40,-1
11,40,-7314.040115536191,4864792.936653466,2,2,139,40,35
11,41,-7324.331793066114,4864815.768423511,2,2,132,40,-1
11,42,-7325.23409999907,4864818.356799995,2,2,131,20,-1
11,43,-7333.90116707484,4864820.381444257,2,2,129,30,-1
11,44,-7361.893523847684,4864836.607315749,2,2,122,40,-1
11,45,-7376.200522492108,4864843.811058606,2,2,118,28,36
12,0,-7406.587285097688,4864809.844412679,1,2,214,20,37
12,1,-7365.028829546983,4864769.508972729,1,2,224,44,38
12,2,-7329.488025929779,4864767.231093142,1,2,206,20,39
12,3,-7335.402896452695,4864762.089691165,1,2,218,20,-1
14,0,-7363.282299999148,4864844.020700004,2,2,107,29,33
14,1,-7321.03830000013,4864820.583800003,2,2,113,26,34
14,2,-7312.662200000137,4864807.624899998,2,2,136,26,-1
14,3,-7315.014710357413,4864793.703268978,2,2,139,20,35
14,4,-7317.526099998503,4864794.559300001,2,2,140,25,-1
14,5,-7367.458799999205,4864841.782799992,2,2,120,37,-1
14,6,-7374.347500000149,4864845.604699999,2,2,118,20,36
14,7,-7392.708915306255,4864836.817310902,2,2,143,20,-1
14,8,-7545.474832799286,4864929.947813576,1,1,106,20,30
14,9,-7568.053527798504,4864892.154664098,1,1,110,20,31
14,10,-7549.37943457067,4864878.4137138985,1,1,107,32,32
14,11,-7371.840103448079,4864848.768527586,3,2,107,29,1
14,12,-7364.689149999991,4864844.801100001,3,2,108,20,0
14,13,-7357.880249999464,4864841.0236,3,2,109,20,2
14,14,-7315.347509888932,4864793.649955437,3,2,136,20,29
14,15,-7323.891800001264,4864818.0591999935,3,2,125,28,28
14,16,-7392.506612442434,4864836.41085283,3,2,140,20,27
15,0,-7383.670200001447,4864842.1807999965,1,2,101,20,-1
15,1,-7375.712884994224,4864844.283069499,1,2,115,20,7
15,2,-7376.317116655409,4864861.756102854,1,2,105,20,8
15,3,-7391.05744619295,4864840.079870956,1,2,143,20,6
15,4,-7315.371809888631,4864793.606205434,1,2,136,20,10
16,0,-7468.870245195925,4864827.937682956,0,1,248,30,4
16,1,-7445.557873841373,4864826.589670563,0,1,202,20,3
16,2,-7424.454393468797,4864857.430653141,0,1,217,30,-1
16,3,-7422.800906192511,4864859.451826426,0,1,218,20,-1
16,4,-7419.48847567104,4864865.370753142,0,1,220,20,-1
16,5,-7423.531571190804,4864897.0073547065,0,1,237,20,5
16,6,-7439.624499998987,4864864.1263000015,0,1,222,20,-1
16,7,-7449.240783274174,4864871.103204917,0,1,226,20,-1
16,8,-7435.137299999595,4864861.710100006,1,1,201,30,-1
16,9,-7466.963700000197,4864820.413199997,1,1,210,20,-1
16,10,-7372.802999999374,4864849.302699998,1,2,106,20,-1
17,0,-7392.599212441593,4864836.490252828,0,2,112,20,19
17,1,-7375.695384994149,4864844.273369499,0,2,132,20,20
17,2,-7368.76886228472,4864840.42159752,0,2,130,20,21
17,3,-7365.71961488202,4864851.113489622,0,2,139,20,22
17,4,-7360.539299998431,4864837.943800002,0,2,128,20,18
17,5,-7366.5040184836835,4864839.165274653,0,2,129,20,23
17,6,-7359.605630045757,4864835.337937826,0,2,127,20,17
17,7,-7355.073485411704,4864832.823628925,0,2,126,20,24
17,8,-7352.609984472394,4864831.481713454,0,2,124,20,16
17,9,-7316.835799999535,4864813.697499996,0,2,104,20,25
17,10,-7305.724217651412,4864813.52577481,0,2,121,20,26
17,11,-7516.198399998249,4864889.940200001,3,1,4,21,-1
18,0,-7524.232508795336,4864951.067487729,3,1,103,20,11
18,1,-7540.33849660866,4864922.375402987,3,1,104,20,12
18,2,-7406.587285097688,4864809.844412679,1,2,214,20,37
18,3,-7364.804450001568,4864769.3845000025,1,2,224,20,38
18,4,-7329.488025929779,4864767.231093144,1,2,206,20,39
18,5,-7392.599212441593,4864836.490252828,1,2,140,20,9
